"","date","Same","...1","Kigoma","Songea","Kumasi","Accra.KIA","Akuse","Ho","Takoradi","Bole","Asamankese","Musoma","Mtwara","Nsawam","Axim","Akim.Oda","Akatsi","Yendi","Wenchi","Koforidua","GilgilKwetu","Tema","Dodoma","Mbeya","Pokuase","Tamale","Babile","Begoro","Lake Manyara","Same.1"
"199",1991-03-30,33.4,45270,85.5000004768371,142.099998474121,51.5999994277953,33.2999997138977,52.5000002384187,47.3999998569489,63.1000006198882,43.9000002145767,45.2999997138976,212.599998950958,153.800001740456,52.2999994754792,48.8999993801116,22.7999992370605,59.7000019550324,32.0000002384186,48.5999999046325,20.3999996185302,51.1000000238419,20.2000007629394,41.0000009536743,62.7000002861023,27.799999833107,34.4000000953674,18.3999999761581,60.3000001907348,52.6000010967255,17.6999998092652
"200",1991-04-14,33.4,45495,76.3000011444092,4.19999980926514,69.1999998092651,21.6999999284744,66.7999993562698,52.0999999046327,86.1000005006789,35.1000001430512,36.9999990463257,62.7000007629395,30.4999992847442,22.8000003099442,30.5999997854232,61.2000002861024,36.7999994754791,46.7999997138977,58.9000015258789,21.800000667572,11.6999998092651,25.9999997615814,43.8999996185303,22.1000003814697,18.9999997615814,54.7999992370606,36.1000000238419,37.0000005960465,29.6000003814697,85.9999999999999
"201",1991-04-29,42.4,45720,58.2999992370605,0,89.9999985694885,70.4999995231628,92.7999992370606,94.3999989032744,109.099999904633,66.5999994874001,101.699999332428,125.400001764298,19.1999998092651,66.6999995708466,78.3999990224837,71.1000001430512,66.8999991416931,60.4999994039535,122.099999904632,58.2000007629394,24.8000001907348,63.3999996185303,0,0,54.8000011444092,64.0000010728835,66.9999999403954,85.9999998807907,0,12.1999998092651
"202",1991-05-14,38.7,45945,29,0,127.29999858141,105.400000691414,137.400001883507,111.39999961853,111.099998950958,87.2000009417533,121.500001192093,147.699997901917,0,109.799998402596,95.5,172.400001049042,113.300000727177,85.5000009536742,263.700002431869,87.0000003576279,67.6000006198884,100.599997997284,0.700000002980232,0,92.3000004291535,72.7999995350837,63.7000002861023,131.60000038147,18.5999994277954,12.3000001907349
"203",1991-05-29,0,46170,0,0,79.7999993562698,38.5000009536743,41.4000000953674,33.7999996542931,52.4000006914139,56.4000000953675,47.8999998569488,101.400001525879,0,43.5999997258187,31.6999998092652,13.3999997377396,36.3999990224838,63.7000000476836,41.3999990224837,44.4999992847442,99.8999991416932,45.0999996662139,0,0,41.5,71.7000010013581,36.9000004529953,45.2999995946884,0,0
"204",1991-06-13,0,46395,0,0,89.0999991893767,75.3000001907348,108.800000667572,71.7999991178512,75.6000006198883,54.900000333786,98.8999984264374,36.9000005722046,0,80.7999988794326,86.8000004291533,68.0000001192092,99.3000018596649,76.5,89.9000012874604,60.5999994277954,15.3000001907349,58.1999995708465,0,0,71.4999986886978,66.0999994277955,49.6999998092651,97.099998831749,15.2000002861023,0
"205",1991-06-28,0,46620,0,0,120.700000286102,159.499999165535,143.700001239777,89.4000000953675,104.799999833107,95.6999996900559,160.900001049042,36.2999992370606,0,119.099998772144,97.5999989509581,186.800001621246,176.900001168251,71.4999995231628,246.499999642372,108.400000333786,45.6000003814697,136.099999785423,0,0,123.499998688698,71.9000000953674,57.5000000000001,125.10000038147,0,0
"206",1991-07-13,16.2,46845,0,0,49.7000000476837,132.499998092651,90.4000005722046,55.1999998092652,93.4000010490419,88.799998641014,80.8999996185303,0,0,68.8999996185303,84.7999999523162,93.6999995708466,91.4000005722046,96.7000018358231,106.899999380112,69.6000003814698,9.19999980926514,95.5999965667724,0,0,104.299999237061,72.5999999046325,71.7000002861022,95.6000001430511,0,0
"207",1991-07-28,6.6,47070,0,0,46.600000143051,0,34.0000004768371,7.80000019073486,62.9999984502792,86.3999986648561,8.80000019073486,32.8000001907349,0,6.80000019073486,18.3999998569488,0,14.8000004291534,95.2000007629396,14.6000003814697,0,39.0999999046326,0,0,0,0,82.2000001668929,126.099999785423,27.7999999523163,0,0
"208",1991-08-12,0,47295,0,0,22.4999995231628,36.0999994277954,21.3000001907348,13.1999998092651,34.5000004768372,74.2000005245209,28.5,28.8999992609024,0,20.8000000715256,36.5000009536744,0,32.9000005722046,87.2999997138976,28.6999998092652,13.9000005722046,47.8999990224839,20.1000003814697,0,0,11.6000003814697,81.5000019073486,114.000000238419,48.3999996185303,0,0
"209",1991-08-27,0,47520,0,0,34.5999999046326,0,35.3000001907349,22.3999996185303,26.2000006437301,94.3999992609024,13.8000001907349,34.5000003576279,0,13.6999995708466,36.0999999046326,0,11.6000003814697,110.500000238419,0,0,64.3000006675721,0,0,0,0,116.700001239777,90.9999986886978,32.4999995231628,0,0
"210",1991-09-11,0,47745,7.90000009536743,0,58.5999991893768,42.1999988555908,37.0000002384186,38.1000006198883,84.7000000476836,99.4000004529953,50.3999991416931,0,0,55.5000003576279,62.7999995946884,9.5,46.4999997615814,106.100001096725,7.69999980926514,21.2000007629394,62.8000011444092,16.4999995231628,0,0,31.5999994277954,111,85.999999344349,48.9999997615815,0,0
"211",1991-09-26,25.1,47970,0,0,75.4000010490417,61,63.0999999046325,56,78.1999981403351,68.1999990940094,62.4999980926514,34.7999992370606,0,74.6000002622604,92.1000013351441,24.2999992370605,79.4999990463257,80.1999998092651,37.4999985694885,50.0999999046326,63.5,38.9000000953675,0,0,44.2999992370605,64.500000178814,67.6999990940094,74.700001001358,0,0
"212",1991-10-11,0,48195,24.3999991416931,0,48.8000001907348,33.3999996185303,45.800000667572,8.59999990463258,71.0000001192093,36.0999994277954,25.7000002861023,108.699999570847,0,25.9000000953674,39.5999999046326,38.8999996185303,39.1999998092651,43.9999997615814,41.300000667572,27.5999999046326,60.8999986648559,18.4999995231629,0,0,26.8999990224838,42.8000003099441,38.2000005841255,58.8999998569489,17.7999992370605,0
"213",1991-10-26,28.2,48420,13,9.10000038146973,45.2999992370605,49.5999994277954,60.7000000476837,36.1999999284744,52.7000005841255,18,71.5999984741212,39.200000166893,47.7000002861023,55.8999993801117,42.8999997973442,47.2999999523163,50.0000004768372,24.2999999523163,62.9000005722046,25.9000002145767,35.8999996185302,21.9999998807907,0,0,38,18.1000001430511,5.10000014305115,45.2000007629394,11.1000003814697,0
"214",1991-11-10,17,48645,69.7000002861023,6.59999990463257,25.0000002384186,36.9999995231628,41.5000001192092,16.2999999523163,3.09999990463257,6.89999985694886,38.7000005245209,21.0999999046325,18.2999997138977,32.0000007748604,20.5999997258186,24.4999995231628,28.0000002384186,0,32.8999996185303,15.5,16.3999996185303,16.4000002145767,0,8.39999961853027,22.9000000953674,2.09999990463257,2,29.1999999284744,0,0
"215",1991-11-25,49.6,48870,118.900000810623,58.8999991416932,23.7000002861023,23.1999998092651,23.1999995708465,7.70000004768372,18.0000002384186,12.1999999582767,26.4999995231628,44.3000011444092,46.8000001907348,15.2999999523163,21.7000002861023,11.7000000476837,13.8999998569489,5.5,18.8999998569489,17.4000000953674,8.69999980926514,18.6999995708466,0,59.6999998092651,20.7000002861023,2.09999990463257,3.29999992251396,25.0999999046326,0,7.80000019073486
"216",1991-12-10,71.3,49095,97.1000001430512,112.600001454353,0,0,0,0,0,0,0,41.0000002384186,155.199998378754,0,0,0,0,0,0,0,55.6000013351441,0,166.100000143051,138.39999961853,0,0,0,0,114.10000038147,148.099999904633
"217",1991-12-25,4.1,49320,94.8000000715255,152.5,0,0,0,0,0,0,0,13.2999999523163,103.299998521805,0,0,3.90000009536743,0,0,0,0,10.5000004768372,0,63.9999997615814,115.000000476837,0,0,3.59999990463256,0,52.2000007629394,13.4999997615814
"218",1992-01-09,0,49545,46.7999994754791,34.7999997138977,0,0,0,0,0,1.89999997615814,0,11.9000000953674,3.70000004768372,0,3.59999990463257,0,0,0,0,0,3,0,11.099999666214,53.0000009536743,0,2.20000004768372,3.70000004768372,0,9.60000038146972,0
"219",1992-01-24,3.9,49770,66.299999833107,88.8999996185303,9.40000009536743,7.19999980926514,0,0,6.5,2.99999991059303,5.09999990463257,52.5000004768372,59.7000002861024,0,5.90000009536743,0,12,0,0,0,9.70000004768372,0,71.8999994993211,71.4000003933907,0,0,0,22.2999997138977,47.3999996185303,22.7999997138977
"220",1992-02-08,0,9981,21.0999997854233,9.69999980926514,10.3000001907349,0,0,0,6,1.70000004768372,0,11.2999999523163,59.7000007629395,0,0,0,0,0,0,0,2.29999995231628,0,31.0000004768372,29.6000006198883,0,0,0,0,16.2000002861023,10.2999999523163
"221",1992-02-23,1,40194,27.3000006675721,108.800001442432,32.6999994516373,30.1000006198883,27.1000008583069,13.7000004053116,19.3999996185303,8.59999978542328,36.9000002145767,0,38.0999994277954,34.2000000476837,24.5000004768372,0,38.8000001907349,14.3000001907349,0,15.7999997138977,0,21.2000007629394,49.6000002622605,42.8999999761581,21.6999996900559,12.1999995708466,3.40000009536744,40.6999998092651,16.6999998092651,13.1999995708466
"222",1992-03-09,0.8,50445,47.3999991416931,86.7999997138978,0,37.8000000715256,30.6000001430511,40.3999996185303,13.9999995231628,0,29.9999997615814,31.9000005722046,55.6999990940094,28.1999996900559,18.7000004053116,34.4000000953675,25.4000000953674,4.5,33.2999992370606,22.5,4.09999990463257,28.6000003814697,17.6999998092651,47.2000007629394,28.0999999046326,4.19999980926514,5.59999978542328,24.2999997138977,20.5000004768372,16.5000004768372
"223",1992-03-24,9.7,50670,68.2000007629393,84.7000005245208,87.4000005722046,42.7999997138977,76.900000333786,45.3999996185303,53.7000004053116,29.9000005722046,73.4999997615814,117.799996614456,97.2000015974045,39.3999996185302,48.8999996185303,48.6000003814698,63.6999993324279,31.3000001907349,56.6999988555907,13.7000002861023,27.4000005722046,23.4999995231628,40.3999996185303,65.3000016212465,23.8999996185302,24.4000000953675,4.90000009536743,74.1000008583069,53.5999991893768,36.9999995231628
"224",1992-04-08,139,50895,171.199999332428,53.5999999046326,67.6000001430511,59.3000009059906,81.8000010251999,47.5999999046325,48.0000004768372,41.6999995708466,84.4999999999999,70.399999141693,152.200001239777,64.899999499321,76.4000018835068,55.5000007152558,77.2999998331071,19.9999997615814,46.9000010490418,35.7000008821487,57.999998807907,32.0000002384186,18.0999999046326,30.3999996185303,47.5999996662139,31.300000667572,26.299999654293,82.3999998569489,6.59999990463257,56.3999996185302
"225",1992-04-23,38.9,51120,119.599999427795,35,56.2999999523164,65.9000005722045,71.5000004768372,74.8000004291535,55.3000001907348,40.700000345707,82.0999985933304,97.100001335144,0,75.2000000476836,53.5,44.8000009059907,63.9999996423721,48.1000009775162,67.1999998092651,41.8999996185303,65.9000000953674,40.300000667572,0,17.8999996185302,62.3999992609024,47.1999992728234,24.5999999046326,60.0000004768371,30.3000001907349,10.1000003814697
