"","date","Same","...1","Kigoma","Songea","Kumasi","Accra.KIA","Akuse","Ho","Takoradi","Bole","Asamankese","Musoma","Mtwara","Nsawam","Axim","Akim.Oda","Akatsi","Yendi","Wenchi","Koforidua","GilgilKwetu","Tema","Dodoma","Mbeya","Pokuase","Tamale","Babile","Begoro","Lake Manyara","Same.1"
"328",1989-06-06,0.5,16464,0,0,51.5000004768372,59.7000002861023,70.3999993801117,72.1999989748002,39.0999998450278,24.800000667572,79.7000018358231,29.1999998092652,0,57.2999995946883,60.5999999046325,104.300000190735,61.7000002861023,41.1999998092651,154.000000953674,49.9999995231628,17.6000003814697,50.2999992370605,0,0,53.9000000953673,31.800000667572,37.899999499321,60.4000015258789,0,0
"329",1989-06-13,0,16513,0,0,33.0000005960464,60.2999997138977,64.6000002622604,25.299999833107,35.5999999046325,34.0999999046325,68.0000002384185,13.6999998092651,0,42.5999994277954,47.7000002861023,87.6999996900559,68.6000001430513,35.0999994277954,135.199999213219,33.0999997854233,9.80000019073486,43.4999990463256,0,0,54.5000009536743,36.5999994277954,42.1999998092651,57.4999995231629,0,0
"330",1989-06-20,0,16562,0,0,106.399999141693,108.799997329712,104.900001049042,64.5000009536744,60.7000012397766,37.0999994277954,114.799999713898,0,0,78.0000009536743,78.3000007867814,123.900001049042,117.60000038147,28.8000001907349,192.000001907349,93.2000012397765,0,104.400000572205,0,0,92.1999998092651,22.7999999523163,27.0999995470047,107.900002479553,0,0
"331",1989-06-27,0,16611,0,0,98.2000002861022,101.89999961853,88.9000017642976,71.6000003814697,71.0999984741211,75.6999993324279,91.3999996185302,0,0,80.1999998092651,75.4999994039536,59.899999141693,100.600001215935,64.3000011444092,96.7000017166137,87.2999997138978,13.5,103.300002574921,0,0,101.100000619888,83.400001525879,59.6000013351441,85.5999999046326,0,0
"332",1989-07-04,0,16660,0,0,57.7000007629394,49.3999998569489,54.7000007629394,40.6999983787536,41.3999996185303,38.9000010490418,65.8999986648559,10,0,30.5,39.5999999046326,51.6999983787537,47.6999998092652,58.0000010728837,106.10000038147,38.1000006198883,53.5000004768372,45.7000012397766,0,0,42.3000009059907,50.0000001192093,42.5000002384185,47.8999991416931,0,0
"333",1989-07-11,0,16709,0,0,49.3000004291534,40.6999990940093,44.4999992847442,25.4000000953674,60.3000004291535,52.5999996662139,50.1999988555909,22.4999997615814,0,39.8999996185302,46.9000000953675,14.1999998092651,48.799999833107,41.2999991178512,10.3000001907349,23.3000001907348,42.200000166893,28.3000001907349,0,0,32.6999998092652,33.3999996185303,39.4999998807907,52.5000005960465,0,0
"334",1989-07-18,0,16758,0,0,20.8999993801117,0,0,3.09999990463257,87.6999990940093,45.8000007867813,0,8.70000028610229,0,0,14.8000001907349,0,17.3999996185303,42.1999988555909,0,0,44.7999992370605,0,0,0,0,28,22.0000003576279,0,0,0
"335",1989-07-25,0,16807,0,0,18.2000007629395,18.1000003814697,30.1000003814697,24.3999998569488,39.0999999046326,67.5,36.7000007629395,0,0,10.5,26.8000001907348,18.9000000953675,23.6000003814698,45.4999998807908,18.9999995231629,11.6999995708466,17,22.5,0,0,15.5999994277954,50.4000010490417,50.5000002384186,23.2999999523163,0,0.300000011920929
"336",1989-08-01,0,16856,0,0,25.0000001192093,42.7000002861023,25.6999998092652,28.2999992370605,41.2999995946884,60.2999994754791,15.1000003814697,0,0,11.3999998569488,29.5000004768372,20.7999992370605,16.400000333786,78.0000009536744,38.3000004291534,24.8000001907348,0,17.5,0,0,23.5,58.0999987125397,67.300000667572,40.3000004291534,0,0
"337",1989-08-08,67.9,16905,0,0,20.5999999046326,39.4000015258789,28.2999992370605,19.6999995708466,25.1000007390976,39.0000003576278,26.5,0,0,25.7000007629395,35.3999996185303,10.1000003814697,25.6000003814697,54.9999995231628,0,18,15,30.5,0,0,23.8999996185303,58.4999990463257,84.6999994516373,34.8999996185302,0,0
