Accra.KIA,Akatsi,Akim.Oda,Akuse,Asamankese,Axim,Babile,Begoro,Bole,Dodoma,GilgilKwetu,Ho,Kigoma,Koforidua,Kumasi,Lake Manyara,Mbeya,Mtwara,Musoma,Nsawam,Pokuase,Same,Songea,Takoradi,Tamale,Tema,Wenchi,Yendi,date
10.5,0.6,10.9,0.0,26.5,21.1,72.7,34.0,130.5,0.0,100.1,19.4,29.099999999999998,7.8,47.5,6.3,0.4,3.4,44.0,16.1,5.4,0.0,0.0,6.199999999999999,81.3,0.0,4.3,74.4,1983-08
55.5,121.1,135.1,66.8,210.0,94.6,163.3,154.6,151.2,0.0,101.3,163.4,7.5,111.2,94.6,6.1,3.0,1.7,61.1,118.9,83.1,1.7,0.0,47.5,234.6,47.3,145.1,139.1,1983-09
2.3,117.89999999999999,41.8,85.0,123.5,114.8,4.9,94.5,31.9,0.0,116.2,143.8,124.4,223.4,43.3,18.700000000000003,3.2,8.8,91.5,107.1,34.5,2.7,26.5,30.6,4.6,0.0,124.7,3.1,1983-10
5.4,59.7,99.0,12.8,44.9,24.240000000000002,0.0,57.3,6.6,19.2,101.2,49.0,69.7,77.8,67.3,37.4,21.400000000000002,41.5,67.1,72.89999999999999,32.7,21.2,42.0,0.0,0.0,0.0,0.3,0.0,1983-11
14.3,46.2,27.799999999999997,41.1,107.8,13.3,0.0,87.6,48.8,220.4,84.2,31.0,126.6,33.0,86.3,133.7,144.1,17.1,55.3,31.0,38.0,175.1,231.3,34.0,0.0,0.0,21.3,46.0,1983-12
12.799999999999999,1.0,0.0,2.8,43.9,36.4,0.0,43.4,0.0,170.0,18.0,0.0,77.1,1.8,0.0,97.3,314.3,21.3,51.1,69.1,34.2,29.999999999999996,451.4,18.1,0.0,0.0,0.0,0.0,1984-01
0.0,6.8999999999999995,25.1,7.8999999999999995,31.200000000000003,39.4,0.0,34.0,0.0,122.4,1.3,35.3,85.2,6.6,8.9,43.7,136.8,85.1,34.8,17.1,14.6,1.2,196.5,3.0,0.0,0.0,0.5,0.0,1984-02
61.0,90.1,183.3,165.0,53.4,73.5,23.8,337.1,71.7,64.1,3.0,265.7,96.3,122.2,135.1,98.0,161.9,186.70000000000002,26.7,117.3,42.0,81.3,213.5,54.4,13.3,17.3,215.5,40.6,1984-03
81.0,61.4,216.1,108.0,192.79999999999998,274.1,20.8,103.6,134.0,117.3,90.5,4.9,147.8,172.1,80.5,169.1,115.0,196.60000000000002,151.4,46.300000000000004,91.4,162.8,52.3,152.8,63.5,50.5,213.4,72.0,1984-04
122.0,98.1,218.6,259.3,113.9,302.8,174.1,182.4,140.5,0.0,34.099999999999994,158.4,41.8,198.9,132.5,35.5,2.8,187.9,110.8,135.9,204.7,30.2,4.6,164.8,74.0,99.2,186.0,146.4,1984-05
96.2,82.9,169.1,113.5,307.3,717.2,83.7,400.6,108.19999999999999,0.0,34.0,180.9,4.1000000000000005,186.1,179.9,16.3,0.0,247.4,29.400000000000002,213.9,61.7,30.5,1.4000000000000001,243.0,209.6,48.0,143.4,181.6,1984-06
58.7,188.3,287.0,135.2,214.5,106.30000000000001,117.8,174.6,240.8,0.0,126.6,189.4,6.7,163.7,276.5,11.2,0.0,46.6,40.9,168.7,82.2,8.9,6.8,0.0,165.7,50.3,192.6,180.9,1984-07
85.3,16.5,111.7,98.8,200.9,66.7,128.9,262.6,219.9,0.0,100.3,205.5,5.0,186.1,171.2,5.9,0.0,0.5,28.1,129.1,159.8,0.1,0.0,170.70000000000002,166.6,20.400000000000002,214.0,235.6,1984-08
99.3,103.0,101.10000000000001,174.2,136.3,49.8,136.6,49.3,96.0,0.0,32.599999999999994,87.0,10.600000000000001,161.1,214.79999999999998,9.3,0.0,7.3,12.8,80.0,112.1,6.2,0.0,67.0,183.2,79.9,127.9,176.3,1984-09
49.0,167.4,293.0,139.6,183.1,250.9,51.2,73.0,64.8,0.0,85.1,154.8,117.6,170.5,138.8,85.1,3.3,2.1,108.5,216.7,123.2,41.8,0.0,108.3,23.8,48.9,63.199999999999996,78.60000000000001,1984-10
14.2,23.6,65.3,37.2,74.8,67.9,27.200000000000003,16.5,8.7,77.0,45.3,53.3,181.7,7.3,44.4,189.5,80.2,23.3,110.5,38.2,33.8,51.099999999999994,127.30000000000001,53.6,24.0,15.1,53.099999999999994,7.8,1984-11
25.4,25.9,41.699999999999996,40.3,36.8,0.0,0.0,6.9,0.0,143.3,48.1,0.0,120.6,18.0,1.3,70.1,267.3,1.1,66.6,45.800000000000004,15.0,24.8,130.0,0.3,0.0,31.700000000000003,0.0,0.0,1984-12
4.8,3.43,1.6,0.0,25.400000000000002,15.8,0.0,6.9,0.0,164.1,4.1,16.0,109.9,9.9,18.5,53.4,131.1,51.4,93.6,20.400000000000002,7.8,1.9,150.2,42.0,0.0,0.3,9.9,0.0,1985-01
6.6,10.28,51.7,30.0,96.0,83.6,0.0,19.200000000000003,0.0,279.0,30.3,6.9,123.1,21.5,45.5,125.1,203.8,125.1,76.9,6.1,0.0,112.7,254.6,30.700000000000003,0.0,8.1,1.9,0.0,1985-02
62.0,22.869999999999997,232.9,83.39999999999999,112.89999999999999,183.6,0.0,159.2,59.7,74.5,78.3,111.7,125.8,136.0,247.4,253.7,127.4,74.2,184.5,136.6,89.4,19.7,116.1,61.300000000000004,34.699999999999996,57.3,124.6,97.5,1985-03
