date,Bole,Takoradi,Tamale,Accra.KIA,Yendi,Pokuase,Koforidua,Kumasi,Ho,Akatsi,Babile,Tema,Akuse,Axim,Akim.Oda,Wenchi,Asamankese,Nsawam,Begoro
1981-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1,0.0,0.0,0.0,0.0
1981-04-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,13.5,18.2,0.0,0.0,0.0
1981-04-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,1.1,1.6,0.0,0.0,0.8
1981-04-04,4.3,0.0,0.0,0.0,0.0,0.0,0.3,6.4,5.8,0.0,0.0,0.0,0.0,0.0,0.0,17.8,2.8,0.0,4.3
1981-04-05,0.0,0.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3,0.0,4.8,0.0,0.0
1981-04-06,13.7,0.0,0.0,4.3,0.0,4.6,1.8,0.9,47.0,0.0,0.0,7.4,11.4,0.0,3.6,0.0,3.6,8.9,4.8
1981-04-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,37.9,0.0,0.0,0.0,0.0,0.0,11.2,0.0,0.0,0.0
1981-04-08,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981-04-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0
1981-04-10,0.0,0.0,0.0,0.0,0.0,0.0,8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
1981-04-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,5.8,0.0,1.8
1981-04-12,0.0,0.0,0.0,0.0,0.0,0.0,2.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.1,0.0,0.0
1981-04-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,6.3,0.0,0.0
1981-04-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.8,3.1,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0
1981-04-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8,30.2,0.0,0.0,0.0,0.0
1981-04-16,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0
1981-04-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,19.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981-04-18,0.0,0.0,22.8,0.0,27.9,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,2.8,0.0,0.0,0.0,0.0,0.0
1981-04-19,2.8,25.4,0.0,13.5,0.0,20.0,11.5,12.5,14.2,0.0,0.0,18.3,39.6,22.6,26.7,0.0,37.9,29.2,3.8
1981-04-20,0.0,0.0,9.8,0.0,38.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981-04-21,30.2,1.0,0.0,0.0,0.3,0.0,16.3,8.3,0.8,0.0,0.0,0.0,0.5,60.2,1.8,46.3,5.8,0.0,1.5
1981-04-22,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,4.3,0.0,1.0,0.0,0.0
1981-04-23,0.0,0.0,22.8,0.0,21.3,0.0,0.3,0.1,2.5,0.0,0.3,0.0,0.0,1.3,0.0,0.0,10.9,2.8,0.0
1981-04-24,4.8,0.0,3.8,1.0,0.4,5.8,0.0,8.6,0.0,0.0,0.8,1.3,0.3,0.0,0.8,4.2,0.0,0.0,23.1
1981-04-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981-04-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6,0.0,1.5,0.0,0.0
1981-04-27,0.0,18.5,0.0,4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.5,9.1,1.0,0.0,0.5,0.0,0.0
1981-04-28,8.9,0.3,3.7,0.0,14.7,0.0,0.0,15.5,0.0,0.0,5.3,0.0,0.0,30.7,0.0,5.4,0.0,0.0,0.0
1981-04-29,0.0,1.3,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,35.6,0.0,0.0,0.0,2.3,0.0,0.5,0.0,0.0
1981-04-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0
1981-05-01,35.8,1.5,1.0,0.0,0.0,0.0,8.0,11.6,24.1,0.0,0.0,0.5,0.0,14.5,0.0,14.7,3.8,3.8,1.0
1981-05-02,0.0,27.4,1.1,15.0,1.3,20.6,1.3,0.0,0.0,1.6,0.0,5.9,0.0,25.4,29.7,5.8,12.7,22.6,2.3
1981-05-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1
1981-05-04,28.5,22.9,7.7,14.8,7.6,33.3,21.3,52.6,58.9,0.0,0.0,11.7,36.3,33.3,47.5,46.3,33.3,45.7,8.9
1981-05-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
1981-05-06,0.0,1.3,0.0,0.5,0.0,0.0,9.4,0.0,4.1,0.0,0.0,0.0,4.3,0.0,9.4,0.0,3.1,0.8,70.1
1981-05-07,0.0,45.0,6.6,2.5,0.0,19.2,2.3,0.0,0.0,0.0,48.9,9.1,0.8,48.0,2.0,0.0,3.1,3.1,0.0
1981-05-08,0.0,0.8,5.7,0.0,13.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.7,2.0,0.0,0.0,0.0,0.0,0.0
1981-05-09,6.4,5.6,2.1,7.9,1.4,0.0,23.4,34.5,15.5,0.0,1.5,0.0,10.7,2.5,52.6,3.3,52.8,35.3,6.3
1981-05-10,35.3,27.4,50.6,24.6,76.4,81.0,1.6,16.1,13.2,8.9,33.8,32.8,0.0,12.8,49.3,10.4,77.5,21.6,4.6
1981-05-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.7,0.0,0.0,0.0,0.0,0.0
1981-05-12,0.0,37.1,0.0,0.0,0.0,0.0,4.6,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,16.8
1981-05-13,0.0,0.0,0.0,0.0,0.0,0.0,40.4,5.9,0.0,0.0,0.0,0.0,0.0,0.0,11.4,0.0,0.0,0.0,0.0
1981-05-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8
1981-05-15,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14.5
1981-05-16,0.0,28.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
1981-05-17,5.1,0.0,0.0,0.5,0.0,0.0,0.3,0.0,45.5,0.0,0.0,0.0,0.8,2.5,1.5,0.0,0.0,0.0,0.0
1981-05-18,0.0,10.7,0.0,29.0,7.2,0.0,5.1,0.0,7.1,16.3,0.0,3.3,0.0,8.1,0.0,0.0,5.3,0.0,1.3
1981-05-19,2.5,0.0,43.3,3.8,0.8,0.0,0.8,0.0,0.0,0.4,3.6,8.9,0.0,0.0,0.0,25.2,0.5,2.3,0.0
1981-05-20,0.0,10.4,0.0,0.0,0.0,4.5,0.0,22.8,4.1,0.0,0.0,7.3,3.6,37.1,0.0,7.4,1.5,3.1,13.5
1981-05-21,0.0,12.7,0.0,19.0,0.0,10.0,19.9,12.1,0.0,3.1,0.0,24.1,9.4,22.1,12.2,0.0,21.1,47.0,3.1
1981-05-22,10.2,4.8,0.0,0.0,0.4,0.0,0.0,0.0,16.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,17.5
1981-05-23,0.0,4.6,1.1,0.0,3.5,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,16.8,10.4,0.0,0.0,0.0,0.8
