"","date","Kigoma","Songea","Kumasi","Accra.KIA","Akuse","Ho","Takoradi","Bole","Asamankese","Musoma","Mtwara","Nsawam","Axim","Akim.Oda","Akatsi","Yendi","Wenchi","Koforidua","GilgilKwetu","Tema","Dodoma","Mbeya","Pokuase","Tamale","Babile","Begoro","Lake Manyara","Same"
"60",1982-02-18,8,10.6,23.7,1.8,17.8,7.4,0.5,1.6,74.4,1.4,0,83.1,22.1,109.5,0,0,17,83.3,0,0,32.7,5,41.6,0,5.8,27.2,1.9,0
"61",1982-02-25,22.5,56.2,1.7,16.8,60.5,76.7,29.4,0,21.3,18.4,0,38.6,30.7,61,0.5,0,0,74.7,0,8.9,2.7,14.1,19.5,0,0,42.9,3,0
"62",1982-03-04,38.1,85.1,0.4,0,0.3,0,0.5,0,0.5,12.2,0,7.6,0,1.3,25.9,0,4.6,0,0,0,1.1,90.8,0,0,4.1,1.3,4.8,0
"63",1982-03-11,0.3,86.2,27.4,55.6,41.1,42.5,62.2,39.1,91.4,0,42.7,65.7,36.9,42.4,0,79.2,59.5,97.1,0,58.4,22.7,13.2,83.1,62.6,20.8,31.2,2.8,1.6
"64",1982-03-18,4.3,15.3,14.4,10.4,8.6,32,1,27.7,90,42,2.1,59.5,12.7,20.3,77.2,0.4,8.9,26.7,0,29.2,5,46.4,33.8,1.2,14.2,27.7,13.4,4.8
"65",1982-03-25,30,23.9,27,8.4,30.2,29,0,19,89.9,26,10.3,14,1.8,46.8,7.2,0,56.7,24.9,0.5,16.5,5.4,9.6,56,3.8,1.8,46.7,78.8,22.2
"66",1982-04-01,64,21.9,12.1,0,3.1,0.3,0,20,5.3,100.8,51.1,0,35,33.2,0,0,92.1,24.9,1.8,0,26,24.5,0,80.4,0,9.6,138.1,53.2
"67",1982-04-08,23.8,23.6,12.7,0,0,2.3,2.3,7.9,25.9,6.7,32.2,14.7,6.1,21.3,0,52.3,2,3.6,12.8,0,0,0,0,0,0,22.1,0.7,2.4
"68",1982-04-15,71.9,9.9,90.7,40.1,35.7,29.5,8.5,55.1,30.2,27,21.9,20.1,28.5,19.1,0,3.9,0.4,69.6,69.9,35,74.9,52.7,27.3,0,21.3,8.7,83.8,18.5
"69",1982-04-22,40.8,0,23.7,14.4,6.1,0,65.8,3.9,3.3,81.6,8.5,19.3,65.8,0.8,5.6,75.3,74.4,2.8,64.2,9.5,2.2,14.2,9.8,92.2,45.4,26.4,58.7,5.6
"70",1982-04-29,12.8,53.3,57.4,60.8,79,19.3,140.6,4.9,83.8,36.3,11.4,74.5,251.6,34.6,22.1,2.3,29.8,59.7,36,49.3,0,4,38.6,67.6,42.5,77.5,32.3,59.4
"71",1982-05-06,30.6,9,30.3,39.4,66.6,56.6,29.2,16.5,39.1,97.2,29.3,23.4,85.9,24.9,10.7,14.3,76.1,16.1,47,36.1,0,13,29.3,9.2,0,37.1,108.6,68.3
"72",1982-05-13,53.8,0,50.1,45.3,29.2,24.1,62.4,41.2,32.5,47.6,160.1,11.7,96.5,17.3,9.4,81.2,8.9,43.7,16.7,12.4,0,0,17.8,80.4,4.8,49.8,21.7,24.8
"73",1982-05-20,3.8,0,76.1,68.3,0.6,12.7,30,6.1,37,45.8,140.6,20.3,107.4,10.9,13.3,0.3,0,30.3,6.1,23.3,0,0,21.7,0,0.5,20.6,57.7,5.7
"74",1982-05-27,33.5,0,61.1,103.7,5.4,23.1,198.5,73.2,47.9,11.7,20.6,81.5,390.7,67.8,5.3,14.7,3.9,49.4,42.7,123.4,0,0,68.3,49.8,79,8.4,0,0
"75",1982-06-03,8.2,0,37.9,22.7,9.7,32.1,159,50.2,41.1,20.2,12,17.5,127.3,55.9,0,2.3,5.6,21,0,64.3,0,0,11.6,38.6,28.7,63.1,0,0.3
"76",1982-06-10,0,0,4.3,94.6,38.9,55.2,48.1,45.2,34.3,0,79.8,70.2,143.3,54.1,0,0,26.6,51.1,1.9,84.9,0,0,36.7,23.8,28.2,39.6,20.1,9.9
"77",1982-06-17,1.9,0,28.1,35.7,37.1,38.1,5.3,4.1,6.8,35.6,23.9,5.3,32.3,5.2,0,39.7,7.9,41.9,18.8,12.9,0,2.3,4.5,42.8,34.9,66.8,20.1,0.4
"78",1982-06-24,0,0,64.9,37.6,61.6,31.2,10.3,18,30.9,2,0,85.8,124.9,67.6,0,10.8,23,51.2,0.5,40.2,0,0,32.2,37.6,29,85.1,0,18.4
"79",1982-07-01,1.3,0,51.4,44.3,86.4,72.4,69.6,1.5,90.7,14.1,0,45.4,227.5,33.2,0,24,61.5,46.9,27.4,73.7,0,0,44.4,3.3,40.4,118,7.4,3.9
"80",1982-07-08,0,0,51.1,14.6,26.7,25.7,13.2,82.1,43.4,2.3,0,33.1,66.1,17.6,0,22.5,63.9,43.7,22.3,13,0,0,28.8,51.4,22.1,58.1,0,1
"81",1982-07-15,0.8,0,6.6,1.3,6.1,0,0.6,106.7,23.3,5,0,4.3,7.7,10.2,0,29.7,16.4,2,42.7,0,0,0,4.7,21.4,59.2,31,0,0.6
"82",1982-07-22,0,0,38.4,0,0,1,0.3,5.1,0,1.5,65.7,17,0,2,0,34.1,1.8,1.6,2.1,0.5,0,0,4.9,2.3,68.4,2.5,8.7,18.5
"83",1982-07-29,0.4,0,4.8,0.6,0,0,3.1,6.1,7.9,20.4,14.7,4.8,14.3,2.5,0,5.4,0.6,3.3,28.5,0,0,0,0,0,74.9,0,6.1,0
"84",1982-08-05,2,0,1.8,0,0,0,0.3,20.9,0,5.7,9.7,0,0,1,0,52.5,0,0,6.9,0,0,0,0,2.9,47.2,0,19.8,11.1
"85",1982-08-12,0,0,66.6,0.3,30,31.6,4.3,37.4,8.2,6.3,0,8.9,9.1,39.6,0,85.6,56.6,27.1,26.5,0,0,0,0,73.3,42.2,66,0,0
"86",1982-08-19,0,0,0.9,0,0,0,0,92.7,0,11.2,0,0.5,0.5,0,0,19,0,0.3,27.2,0.3,0,0,0,18.2,30.8,0,0,0
