"","date","Kumasi","Accra.KIA","Akuse","Ho","Takoradi","Bole","Asamankese","Nsawam","Axim","Akim.Oda","Akatsi","Yendi","Wenchi","Koforidua","Tema","Pokuase","Tamale","Babile","Begoro"
"62",1981-03-03,2.66873264312744,5.02374172210693,4.32487773895264,1.084721326828,0,4.19075393676758,3.39900994300842,5.0884313583374,5.97306680679321,1.32072007656097,6.8383994102478,0,2.71647262573242,0,0,0,0.554531812667847,0,2.42745041847229
"63",1981-03-04,3.61527872085571,12.4142236709595,9.45349502563477,1.52538931369781,5.67931985855103,6.48890972137451,13.643913269043,12.5740795135498,10.9294404983521,1.30802094936371,16.8984432220459,1.16991209983826,2.69035243988037,2.88124012947083,3.00786471366882,3.545405626297,0.346582323312759,1.40913319587708,34.9214820861816
"64",1981-03-05,5.6266884803772,0.558193445205688,5.76012563705444,1.38979911804199,6.2217264175415,0,4.09317398071289,0.565381228923798,0.55070823431015,1.46464490890503,0.759822010993958,2.72979474067688,3.01249861717224,0.480206787586212,0.501310765743256,2.05721092224121,1.66359543800354,2.04964828491211,2.41976833343506
"65",1981-03-06,0.849194347858429,0,0,0,17.6305809020996,33.1214904785156,1.46821320056915,0,1.91070973873138,0,0,2.80747246742249,0,0,0,0,2.3090033531189,0,1.63335013389587
"66",1981-03-07,3.97955799102783,0,2.34379506111145,0,7.31116962432861,1.06461954116821,1.73926758766174,0,3.10490298271179,0,0,0,0,0,0,0,0.529146611690521,2.23998355865479,4.58728122711182
"67",1981-03-08,0.965750396251678,0,0,0,0,0,0,0,0.955354869365692,2.78436422348022,0,0,5.99457550048828,0,0,0,0,0,2.55428171157837
"68",1981-03-09,4.32922649383545,0,2.79906439781189,0,5.59761428833008,1.73493540287018,0,0,4.77677392959595,2.70071387290955,0,1.7088965177536,5.81448078155518,0,0,0,0.865876376628876,0,3.61422204971313
"69",1981-03-10,4.64559268951416,5.44185924530029,5.59812927246094,3.54926323890686,1.44700229167938,1.02518904209137,5.05968761444092,6.12366962432861,0,0,7.56070613861084,4.43499279022217,0,2.07656669616699,2.18776702880859,3.26508736610413,0.962084650993347,1.62907886505127,2.31101679801941
"70",1981-03-11,6.22280406951904,9.48365592956543,12.0885572433472,5.75144004821777,12.4106674194336,5.60555028915405,9.57256603240967,9.2695484161377,8.28184604644775,0,10.4330463409424,15.1053438186646,0,0.735112607479095,0.755823194980621,2.41905450820923,3.9824686050415,10.0325393676758,12.7928647994995
"71",1981-03-12,7.98320198059082,12.3462810516357,13.9946365356445,7.66858673095703,20.5206050872803,7.91200113296509,14.8616876602173,12.0675449371338,9.86920070648193,4.79375791549683,13.5822420120239,0,7.98440790176392,6.05834197998047,6.22902536392212,10.0529546737671,1.08612763881683,0.797069668769836,15.0125226974487
"72",1981-03-13,2.92717409133911,9.61997127532959,8.52719688415527,8.47580718994141,0,0.875867247581482,10.1312761306763,9.40278720855713,14.1136465072632,7.07960939407349,10.5830087661743,0,11.7916860580444,4.6388144493103,4.7695050239563,6.99939489364624,0,0,15.7762765884399
"73",1981-03-14,12.5274877548218,0,3.91247916221619,1.53876268863678,6.9426007270813,0,1.32228052616119,0,1.62186133861542,0,0,0,0,0,0,0,0,0,6.08615827560425
"74",1981-03-15,12.7731237411499,18.5973129272461,19.7881145477295,7.03794622421265,8.97008514404297,8.84625911712646,19.6479682922363,18.1774520874023,16.7362308502197,5.290114402771,20.4590549468994,0,8.81113147735596,9.91134738922119,10.1905832290649,11.3616247177124,0,0,31.9105644226074
"75",1981-03-16,5.15966987609863,1.63591396808624,3.71385192871094,1.08697485923767,21.3796329498291,9.50404834747314,1.66965425014496,1.47793328762054,6.77799415588379,1.67207074165344,1.77852690219879,0,3.67943382263184,3.6290910243988,3.76073217391968,0,0.954414248466492,0,25.9865131378174
