"","date","...1","Kigoma","Songea","Kumasi","Accra.KIA","Akuse","Ho","Takoradi","Bole","Asamankese","Mtwara","Nsawam","Axim","Akim.Oda","Akatsi","Yendi","Wenchi","Koforidua","GilgilKwetu","Tema","Dodoma","Mbeya","Tamale","Babile","Begoro","Lake Manyara","Same"
"99",1985-01-10,22170,109,35,31,39,42,36,66,0,61,11,36,43,23,37,5,67,16,17,5,24,45,2,0,15,106,0
"100",1985-01-25,22395,60,121,5,28,41,9,13,0,50,42,26,35,17,20,0,48,13,93,5,119,124,0,0,9,373,44
"101",1985-02-09,22620,49,48,8,9,13,9,4,0,11,97,3,10,1,3,0,16,4,7,0,81,100,0,0,0,166,92
"102",1985-02-24,22845,90,83,47,56,57,29,69,8,70,87,34,42,28,59,3,61,15,6,10,67,55,4,0,33,638,6
"103",1985-03-11,23070,219,38,59,113,98,88,90,47,133,107,116,104,68,111,22,99,84,67,63,12,78,27,12,77,157,9
"104",1985-03-26,23295,346,131,38,55,55,42,109,32,70,142,60,67,32,49,46,57,34,556,26,59,146,53,18,48,543,23
"105",1985-04-10,23520,388,34,63,54,40,43,98,33,57,42,49,75,10,61,12,39,20,178,11,12,13,31,19,45,390,8
"106",1985-04-25,23745,329,41,79,65,90,64,127,105,88,48,71,74,83,71,42,129,52,217,50,4,24,33,47,61,69,36
"107",1985-05-10,23970,233,9,30,61,77,63,67,54,90,19,64,67,83,56,28,96,48,280,49,0,4,35,48,40,48,4
"108",1985-05-25,24195,27,0,35,63,81,59,55,23,89,0,65,85,61,67,29,81,43,71,33,0,0,23,20,47,1,0
"109",1985-06-09,24420,6,0,64,77,93,88,32,18,104,2,86,96,72,77,31,98,53,62,56,0,0,51,27,47,7,0
"110",1985-06-24,24645,14,9,64,125,126,108,113,73,168,10,123,167,95,121,47,138,77,17,53,0,0,42,40,85,1,2
"111",1985-07-09,24870,1,0,65,80,85,54,97,121,114,3,89,113,61,94,109,68,39,97,21,0,0,84,161,75,0,1
"112",1985-07-24,25095,4,1,61,74,77,61,122,88,109,0,92,122,19,91,94,44,29,89,8,0,0,112,78,71,0,0
"113",1985-08-08,25320,0,2,54,65,52,35,98,94,97,2,89,89,8,81,128,55,16,60,4,0,0,127,77,72,0,0
"114",1985-08-23,25545,12,0,53,69,74,54,82,141,104,0,100,122,29,95,171,49,22,110,10,0,0,177,128,66,1,0
"115",1985-09-07,25770,13,2,61,74,114,47,99,108,108,4,114,120,45,102,95,103,35,73,18,0,0,119,92,101,1,0
"116",1985-09-22,25995,21,4,66,102,97,72,93,50,138,3,110,126,66,102,66,111,48,26,29,0,0,45,48,78,5,0
"117",1985-10-07,26220,35,2,49,78,83,53,88,30,110,4,83,85,22,72,35,57,36,16,18,0,5,20,4,38,12,3
"118",1985-10-22,26445,242,1,46,59,75,66,64,28,90,49,55,74,29,55,18,59,43,59,24,0,0,23,9,38,54,1
"119",1985-11-06,26670,156,67,47,84,80,83,52,16,98,15,84,98,48,81,3,86,63,153,41,23,75,6,12,53,140,1
"120",1985-11-21,26895,255,85,26,26,33,42,28,4,44,49,39,33,24,23,4,46,23,80,15,22,81,4,0,16,167,3
"121",1985-12-06,27120,422,73,7,11,17,10,6,0,16,120,22,24,5,21,0,13,5,2,5,21,36,0,0,17,185,7
"122",1985-12-21,27345,255,62,0,5,4,2,0,0,8,48,1,4,4,2,0,19,2,11,0,66,146,0,0,0,531,1
"123",1986-01-05,27570,81,115,0,0,0,2,0,0,0,216,0,0,1,0,0,4,0,23,0,71,63,0,0,0,219,75
"124",1986-01-20,27795,341,132,32,12,18,2,12,1,18,65,10,7,8,7,0,16,8,1,1,10,73,0,0,2,198,5
"125",1986-02-04,28020,95,101,80,78,65,47,60,2,104,33,50,60,13,78,7,71,30,1,13,83,41,10,0,33,208,0
"126",1986-02-19,28245,154,58,40,69,87,28,42,9,109,25,45,50,32,59,8,79,35,18,25,4,40,5,4,24,63,3
"127",1986-03-06,28470,84,116,75,70,117,52,126,43,99,79,80,66,38,87,47,91,37,105,18,35,99,35,15,64,238,10
"128",1986-03-21,28695,309,79,55,63,86,61,93,15,92,136,63,99,40,59,31,83,38,69,24,25,76,20,5,41,117,13
"129",1986-04-05,28920,294,77,40,21,30,12,99,56,29,188,23,27,27,29,42,50,12,194,7,10,53,69,40,26,105,73
"130",1986-04-20,29145,330,27,47,44,71,45,56,67,88,48,46,64,41,48,55,70,33,304,17,3,11,55,38,43,320,6
"131",1986-05-05,29370,228,10,70,65,101,72,115,72,114,10,75,87,92,80,35,117,47,88,50,2,18,69,34,59,98,5
"132",1986-05-20,29595,217,9,51,81,101,93,81,70,111,28,87,95,135,92,38,135,69,79,63,0,0,51,76,71,19,42
"133",1986-06-04,29820,52,0,39,59,86,55,43,50,112,1,47,54,83,64,30,110,50,93,47,0,0,50,54,58,2,0
"134",1986-06-19,30045,0,0,21,29,40,38,52,47,53,4,38,46,78,39,32,79,33,90,34,0,0,51,40,47,0,1
"135",1986-07-04,30270,0,0,40,74,95,41,40,27,103,1,65,80,55,80,61,68,42,136,19,0,0,42,44,65,0,0
"136",1986-07-19,30495,0,0,41,16,21,14,62,123,22,1,15,23,7,16,78,20,9,107,3,0,0,95,227,14,0,0
"137",1986-08-03,30720,1,0,31,13,26,18,59,55,27,0,20,29,1,27,74,8,2,83,1,0,0,63,73,28,0,0
"138",1986-08-18,30945,1,0,32,24,52,11,162,128,59,3,29,44,9,35,162,34,9,76,3,0,0,130,80,39,0,3
"139",1986-09-02,31170,15,2,47,60,71,41,114,97,85,0,66,111,12,83,111,36,19,54,6,0,0,95,118,76,0,0
"140",1986-09-17,31395,20,0,94,59,104,35,104,72,92,2,66,85,12,73,92,38,30,25,14,0,0,93,76,70,0,0
"141",1986-10-02,31620,103,12,24,63,75,18,41,28,109,15,51,72,12,59,31,31,30,49,11,0,0,12,6,30,30,1
"142",1986-10-17,31845,198,23,56,118,74,78,79,59,129,25,140,115,57,113,67,76,98,164,51,3,64,48,53,95,114,3
"143",1986-11-01,32070,273,97,23,32,54,29,60,29,63,23,35,45,25,31,10,41,21,160,7,7,44,17,15,23,184,5
