,date,Sum,Sum_Tanz,Sum_Tanz_ch,Sum_Tanz_AG,Sum_Ghana_ch,Sum_Ghana_AG,month
94,1981-04-05,11.7,76.19999999999999,40.7085657119751,161.0,5.8385559320449865,28,Apr
95,1981-04-06,111.99999999999999,70.80000000000001,42.78581285476683,35.0,24.56040263175964,20,Apr
96,1981-04-07,49.599999999999994,42.3,55.047933578491204,37.0,56.886270165443435,5,Apr
97,1981-04-08,2.5,28.400000000000002,46.14865112304693,46.0,29.130986422300342,35,Apr
98,1981-04-09,0.3,35.6,62.509204626083374,42.0,74.23688898980615,66,Apr
99,1981-04-10,8.9,53.8,62.63399696350096,43.0,22.437082022428502,13,Apr
100,1981-04-11,8.1,50.0,2.80032515525818,34.0,60.14904096722598,24,Apr
101,1981-04-12,40.699999999999996,45.599999999999994,50.81137728691099,42.0,10.646673053503036,10,Apr
102,1981-04-13,8.399999999999999,78.69999999999999,72.12781095504766,47.0,0.695889800786972,3,Apr
103,1981-04-14,22.1,12.899999999999999,18.10279202461242,40.0,0.801290325820446,2,Apr
104,1981-04-15,34.0,38.7,21.20946264266967,29.0,5.417967170476917,13,Apr
105,1981-04-16,0.6,15.299999999999999,44.58067941665654,42.0,32.606668114662206,47,Apr
106,1981-04-17,19.900000000000002,42.9,23.4797596931458,34.0,0.0,35,Apr
107,1981-04-18,53.7,20.4,4.83473706245422,22.0,86.63112235069272,50,Apr
108,1981-04-19,277.99999999999994,2.2,1.46935558319092,7.0,119.98693114519119,100,Apr
109,1981-04-20,48.400000000000006,25.099999999999998,29.46179199218753,26.0,44.11630630493162,20,Apr
110,1981-04-21,173.0,54.8,42.28079414367673,68.0,134.99760043621066,143,Apr
111,1981-04-22,8.6,13.100000000000001,10.11772036552429,42.0,115.91512733697881,99,Apr
112,1981-04-23,62.3,1.1,8.42789173126221,32.0,79.23499062657358,113,Apr
113,1981-04-24,54.900000000000006,22.6,21.620228767395062,23.0,21.10154029726983,68,Apr
114,1981-04-25,0.4,24.5,50.40967273712152,46.0,33.35856261849402,56,Apr
115,1981-04-26,6.1,28.0,30.772306680679335,50.0,72.45144879817963,54,Apr
116,1981-04-27,65.2,33.7,17.24381375312803,17.0,99.24820399284359,103,Apr
117,1981-04-28,84.50000000000001,18.799999999999997,12.23883247375488,41.0,33.47814816236494,123,Apr
118,1981-04-29,41.2,9.8,9.22826862335205,23.0,203.74826899170873,155,Apr
119,1981-04-30,2.5,22.2,18.6057319641113,29.0,133.8634851276874,49,Apr
120,1981-05-01,120.3,30.4,47.34236955642698,50.0,231.3516128063202,104,May
121,1981-05-02,172.70000000000002,12.399999999999999,38.113458156585594,47.0,569.4880887269974,287,May
122,1981-05-03,4.1,27.2,84.89624810218815,72.0,300.80673074722284,127,May
123,1981-05-04,510.6,30.8,41.20843172073369,48.0,210.0842895507813,313,May
124,1981-05-05,0.5,23.0,27.89662837982182,33.0,321.49379456043243,97,May
125,1981-05-06,103.0,47.39999999999999,43.54720640182492,51.0,94.59543807804583,55,May
126,1981-05-07,190.6,68.0,14.12461519241333,39.0,41.777083069086096,70,May
127,1981-05-08,99.10000000000001,49.5,37.88381958007812,40.0,157.74634188413617,116,May
128,1981-05-09,261.8,29.599999999999998,21.63940429687504,37.0,91.10373863577844,155,May
129,1981-05-10,577.9,6.0,0.0,53.0,277.75443553924583,518,May
130,1981-05-11,27.7,19.8,27.800678730011,74.0,96.02674043178557,127,May
131,1981-05-12,61.0,3.3,0.0,26.0,38.99848163127895,6,May
132,1981-05-13,57.7,15.3,5.75335121154785,29.0,22.936734944582,41,May
133,1981-05-14,1.8,34.0,8.59043407440186,22.0,3.14825987815857,36,May
134,1981-05-15,17.0,18.6,10.2767791748047,24.0,100.08695852756495,38,May
135,1981-05-16,46.7,14.799999999999999,29.6092643737793,16.0,16.21228647232055,29,May
136,1981-05-17,56.199999999999996,3.0,6.00630474090576,15.0,49.85943591594696,74,May
137,1981-05-18,93.39999999999999,33.800000000000004,7.66600131988525,11.0,93.96042823791511,47,May
138,1981-05-19,92.1,47.300000000000004,22.66065931320188,21.0,67.86236143112181,37,May
139,1981-05-20,115.3,10.799999999999999,0.0,22.0,113.33690100908275,99,May
140,1981-05-21,215.79999999999998,1.3,1.22616863250732,26.0,149.43556547164928,247,May
141,1981-05-22,51.699999999999996,0.0,0.0,4.0,400.52506792545313,257,May
142,1981-05-23,37.49999999999999,0.3,0.0,5.0,78.2133204936981,170,May
143,1981-05-24,65.2,4.6,0.0,4.0,65.78760707378387,63,May
